date,watch,zolpidem,Lunesta,Intermezzo,trazadone,isPartial
2004-01-01,12,0,0,0,0,True
2004-02-01,12,0,0,0,0,True
2004-03-01,11,0,0,0,0,True
2004-04-01,11,0,0,0,0,True
2004-05-01,11,0,0,0,0,True
2004-06-01,12,0,0,0,0,True
2004-07-01,11,0,0,0,0,True
2004-08-01,13,0,0,0,0,True
2004-09-01,15,0,0,0,0,True
2004-10-01,12,0,0,0,0,True
2004-11-01,13,0,0,0,0,True
2004-12-01,14,0,0,0,0,False
2005-01-01,12,0,0,0,0,True
2005-02-01,12,0,0,0,0,False
2005-03-01,12,0,0,0,0,True
2005-04-01,13,0,0,0,0,False
2005-05-01,13,0,0,0,0,False
2005-06-01,12,0,0,0,0,False
2005-07-01,12,0,0,0,0,False
2005-08-01,13,0,0,0,0,True
2005-09-01,14,0,0,0,0,False
2005-10-01,13,0,0,0,0,False
2005-11-01,13,0,0,0,0,False
2005-12-01,14,0,0,0,0,False
2006-01-01,12,0,0,0,0,False
2006-02-01,12,0,0,0,0,False
2006-03-01,12,0,0,0,0,False
2006-04-01,12,0,0,0,0,False
2006-05-01,12,0,0,0,0,False
2006-06-01,15,0,0,0,0,False
2006-07-01,13,0,0,0,0,False
2006-08-01,13,0,0,0,0,False
2006-09-01,13,0,0,0,0,False
2006-10-01,13,0,0,0,0,False
2006-11-01,15,0,0,0,0,False
2006-12-01,16,0,0,0,0,True
2007-01-01,16,0,0,0,0,False
2007-02-01,17,0,0,0,0,False
2007-03-01,18,0,0,0,0,False
2007-04-01,19,0,0,0,0,False
2007-05-01,20,0,0,0,0,False
2007-06-01,22,0,0,0,0,False
2007-07-01,23,0,0,0,0,False
2007-08-01,25,0,0,0,0,False
2007-09-01,25,0,0,0,0,False
2007-10-01,29,0,0,0,0,False
2007-11-01,33,0,0,0,0,False
2007-12-01,38,0,0,0,0,False
2008-01-01,37,0,0,0,0,False
2008-02-01,40,0,0,0,0,False
2008-03-01,42,0,0,0,0,False
2008-04-01,39,0,0,0,0,False
2008-05-01,44,0,0,0,0,False
2008-06-01,48,0,0,0,0,False
2008-07-01,50,0,0,0,0,False
2008-08-01,54,0,0,0,0,False
2008-09-01,51,0,0,0,0,False
2008-10-01,54,0,0,0,0,False
2008-11-01,62,0,0,0,0,False
2008-12-01,64,0,0,0,0,False
2009-01-01,64,0,0,0,0,False
2009-02-01,67,0,0,0,0,False
2009-03-01,61,0,0,0,0,False
2009-04-01,64,0,0,0,0,False
2009-05-01,61,0,0,0,0,False
2009-06-01,58,0,0,0,0,False
2009-07-01,65,0,0,0,0,False
2009-08-01,67,0,0,0,0,False
2009-09-01,64,0,0,0,0,False
2009-10-01,72,0,0,0,0,False
2009-11-01,78,0,0,0,0,False
2009-12-01,80,0,0,0,0,False
2010-01-01,76,0,0,0,0,False
2010-02-01,80,0,0,0,0,False
2010-03-01,79,0,0,0,0,False
2010-04-01,81,0,0,0,0,False
2010-05-01,85,0,0,0,0,False
2010-06-01,87,0,0,0,0,False
2010-07-01,97,0,0,0,0,False
2010-08-01,85,0,0,0,0,False
2010-09-01,79,0,0,0,0,False
2010-10-01,81,0,0,0,0,False
2010-11-01,79,0,0,0,0,False
2010-12-01,86,0,0,0,0,False
2011-01-01,87,0,0,0,0,False
2011-02-01,90,0,0,0,0,False
2011-03-01,82,0,0,0,0,False
2011-04-01,85,0,0,0,0,False
2011-05-01,85,0,0,0,0,False
2011-06-01,87,0,0,0,0,False
2011-07-01,90,0,0,0,0,False
2011-08-01,100,0,0,0,0,False
2011-09-01,93,0,0,0,0,False
2011-10-01,92,0,0,0,0,False
2011-11-01,90,0,0,0,0,False
2011-12-01,91,0,0,0,0,False
2012-01-01,92,0,0,0,0,False
2012-02-01,88,0,0,0,0,False
2012-03-01,82,0,0,0,0,False
2012-04-01,80,0,0,0,0,False
2012-05-01,74,0,0,0,0,False
2012-06-01,81,0,0,0,0,False
2012-07-01,86,0,0,0,0,False
2012-08-01,82,0,0,0,0,False
2012-09-01,77,0,0,0,0,False
2012-10-01,83,0,0,0,0,False
2012-11-01,85,0,0,0,0,False
2012-12-01,89,0,0,0,0,False
2013-01-01,84,0,0,0,0,False
